District,Latitude,Longitude
nicobars,8.0,93.5
north and middle andaman,12.84095277,92.8692099
south andaman,11.50569706,92.64196482
anantapur,14.68352,77.58195
chittoor,13.20604,79.08833
east godavari,16.96036,82.23809
guntur,16.29974,80.45729
krishna,16.18747,81.13888
kurnool,15.82551,78.03012
prakasam,15.51761,80.0599
spsr nellore,14.08333,79.58333
srikakulam,18.2989,83.89751
visakhapatnam,17.71984,83.26284
vizianagaram,18.11825,83.41798
west godavari,16.71311,81.10437
ysr,13.87457,79.5388
anjaw,28.04142611,96.83475135
changlang,27.37421556,96.35447761
dibangvalley,28.85757419,95.9117829
east kameng,27.59981787,92.92209379
east siang,28.0493143,95.34435148
kamle,27.77785994,94.12304359
kra daadi,27.99767559,93.70192312
kurung kumey,28.00721911,93.20722546
lepa rada,27.93550607,94.71149751
lohit,27.88832904,96.34336336
longding,26.8623075,95.32686365
lower dibangvalley,28.25433025,95.87343736
lower siang,27.77779238,94.68677519
lower subansiri,27.56021766,93.78343877
namsai,27.6654,95.87726
pakke kessang,27.11519867,93.06099951
papum pare,27.30976594,93.60479049
shi yomi,29.20388242,94.29236514
siang,28.42085911,94.81662436
tawang arunachal pradesh,27.59608085,91.85755984
tirap,27.0301656,95.53894736
upper siang,28.82088408,94.92556747
upper subansiri,28.32566653,93.90135469
west kameng,27.29530494,92.38639672
west siang,28.18345759,94.62128205
baksa,26.64715,91.28663
barpeta,26.31282,91.00251
biswanath,26.74382,93.16238
bongaigaon,26.46936,90.56083
cachar,24.81139572,92.85407642
charaideo,27.0587565,95.04605737
chirang,26.6519383,90.62693595
darrang,26.47304421,92.02970031
dhemaji,27.47506,94.5616
dhubri,26.02571,89.9721
dibrugarh,27.48439,94.92311
dima hasao,25.37734217,93.032895
goalpara,26.16213,90.62291
golaghat,26.50722,93.97357
hailakandi,24.67881,92.56544
hojai,26.00316,92.85383
jorhat,26.76765,94.20651
kamrup,26.10524658,91.40129902
kamrup metropolitan,26.12051927,92.0061675
karbi anglong,26.0,93.5
karimganj,24.86013,92.3765
kokrajhar,26.40403,90.26975
lakhimpur,27.94822,80.77935
majuli,26.96274,94.16202
marigaon,26.25213,92.34157
nagaon,26.34949,92.68462
nalbari,26.4446,91.43824
sivasagar,26.98985,94.64008
sonitpur,26.78398538,92.70607557
south salmara mancachar,25.70893,89.88867
tinsukia,27.48771,95.35682
udalguri,26.74475,92.09442
west karbi anglong,25.85290204,92.53384955
araria,26.13289,87.45705
arwal,25.24546,84.6638
aurangabad bihar,24.75462,84.37566
banka,24.88537,86.92398
begusarai,25.42442,86.13367
