State,District,N,P,K,ph
Andhra Pradesh,Alluri Sitharama Raju,,,25.0,7.8
Andhra Pradesh,Ananthapuramu,,15.0,,5.5
Andhra Pradesh,Annamayya,,15.0,,
Andhra Pradesh,Chittoor,40.0,,,
Andhra Pradesh,East Godavari,,,25.0,7.8
Andhra Pradesh,Krishna,95.0,,,
Andhra Pradesh,Palnadu,,,25.0,
Andhra Pradesh,Sri Potti Sriramulu Nellore,,65.0,,
Andhra Pradesh,Srikakulam,,65.0,,
Andhra Pradesh,Vizianagaram,,,,5.5
Arunachal Pradesh,Anjaw,,,,5.5
Arunachal Pradesh,Papum Pare,,,,7.8
Assam,Darrang,,35.0,,
Assam,Goalpara,,,,7.8
Assam,Jorhat,,,,7.8
Assam,Kamrup,,,95.0,
Assam,Lakhimpur,,,,7.8
Assam,Udalguri,,,95.0,
Bihar,Aurangabad,65.0,,25.0,
Bihar,Bhagalpur,,,95.0,
Bihar,Gaya,,,,5.5
Bihar,Jamui,,35.0,,
Bihar,Jehanabad,,15.0,,
Bihar,Kaimur (Bhabua),,,55.0,
Bihar,Madhubani,95.0,,,6.8
Bihar,Munger,95.0,,,
Bihar,Nalanda,65.0,,,
Bihar,Nawada,,,25.0,
Bihar,Pashchim Champaran,95.0,,95.0,
Bihar,Patna,,,,7.8
Bihar,Purbi Champaran,95.0,,,7.8
Bihar,Rohtas,,15.0,,
Bihar,Samastipur,,65.0,,
Bihar,Saran,,,25.0,
Chhattisgarh,Sarangarh-Bilaigarh,,,,7.8
Goa,South Goa,,35.0,,
Gujarat,Ahmedabad,,,,5.5
Gujarat,Amreli,,65.0,55.0,
Gujarat,Anand,40.0,,,
Gujarat,Arvalli,95.0,,95.0,7.8
Gujarat,Banas Kantha,65.0,65.0,95.0,
Gujarat,Bhavnagar,95.0,,,
Gujarat,Dangs,,,95.0,
Gujarat,Devbhumi Dwarka,40.0,,,
Gujarat,Jamnagar,,,95.0,5.5
Gujarat,Junagadh,,,95.0,
Gujarat,Kheda,,15.0,,
Gujarat,Mahesana,,65.0,,
Gujarat,Mahisagar,,65.0,,
Gujarat,Narmada,95.0,,,
Gujarat,Porbandar,,,,6.8
Gujarat,Rajkot,,35.0,95.0,
Gujarat,Sabar Kantha,,15.0,,
Gujarat,Tapi,65.0,,,
Haryana,Charkhi Dadri,,,,5.5
Haryana,Gurugram,,,,7.8
Haryana,Jhajjar,40.0,,,
Haryana,Mahendragarh,40.0,,,
Haryana,Panchkula,,35.0,,
Himachal Pradesh,Bilaspur,,65.0,,
Himachal Pradesh,Kangra,,,25.0,7.8
Jammu And Kashmir,Anantnag,,,,7.8
Jammu And Kashmir,Bandipora,,,,5.5
Jammu And Kashmir,Jammu,,15.0,,
Jammu And Kashmir,Udhampur,,65.0,,
Jharkhand,Dhanbad,,65.0,,
Jharkhand,East Singhbum,,35.0,,
Jharkhand,Garhwa,,,,6.8
Jharkhand,Giridih,,,25.0,
Jharkhand,Godda,,,,7.8
Jharkhand,Khunti,,15.0,,
Jharkhand,Pakur,,,,6.8
Jharkhand,West Singhbhum,65.0,65.0,,
Karnataka,Dharwad,,15.0,,
Karnataka,Kolar,65.0,,,
Karnataka,Koppal,,,25.0,5.5
Karnataka,Mandya,40.0,,,7.8
Karnataka,Vijayanagara,,,95.0,
Kerala,Thrissur,,15.0,,
Madhya Pradesh,Alirajpur,,,,6.8
